"";"period";"number_of_KPGZ";"round(number_of_KPGZ_Stand)";"prop_KPGZ";"number_of_SPGZ";"round(number_of_SPGZ_Stand)";"prop_SPGZ"
"1";"20211kv1";5880;2076;35,3;99000;20790;21
"2";"2021kv2";6380;2660;41,7;96800;23329;24,1
"3";"2021kv3";6260;2936;46,9;91500;24705;27
"4";"2021kv4";6250;3031;48,49;89460;22955;25,66
"5";"2022kv1";6360;3142;49,4;88270;23321;26,42
"6";"2022kv2";6410;3279;51,16;72400;23544;32,52
"7";"2022kv3";6470;3604;55,71;70640;25593;36,23
