№;ID задачи;Заголовок;Основание;План по стандартизации;Квартал;Вид ТЗ;Stage;Срок разработки;История согласования;Количество возвратов от ДЭПиР;Отклонения;Количество возвратов от ОИВ;Отклонения;Срок доработки АЦ;Срок доработки ДЭПиР;Исполнитель;Руководитель группы;Курирующий заместитель руководителя ПО;Исполнитель ДЭПиР;Контракт;ПЦП;Критерии оценки;Форма 2;Способы определения поставщика (подрядчика, исполнителя);Теги;Реквизиты писем и протоколов;КТД;Описание;Дата создания;"Время нахождения в статусе ""Запланировано""";Отклонения;"Время нахождения в статусе ""В работе АЦ""";Отклонения;"Время нахождения в статусе ""Доработка ОИВ""";Отклонения;"Время нахождения в статусе ""Доработка ДЭПиР""";Отклонения;"Время нахождения в статусе ""Внут. согл.""";Отклонения;"Время нахождения в статусе ""В ДЭПиР""";Отклонения;"Время нахождения в статусе ""На согл. в ОИВ""";Отклонения;"Время нахождения в статусе ""Подготовка к РГ""";Отклонения;"Время нахождения в статусе ""РГ""";Отклонения;"Время нахождения в статусе ""МРГ""";Отклонения;"Время нахождения в статусе ""Загрузка в ЕАИСТ""";Отклонения;"Дата присвоения статуса ""РГ""";"Дата присвоения статуса ""Завершено""";Длительность;Отклонения
31;FR-53;Поставка рассады, семян, саженцев, щепы декоративной;План по стандартизации;2020;3;ТТЗ;Завершено;;"Итерация №1
2020-05-25 - Stage Planned ? Develop
          Количество дней: 0
2020-05-25 - Stage Develop ? Внут. согл.
          Количество дней: 77.1
2020-09-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-09-10 - Stage DEPiR ? Revision DEPiR
          Количество дней: 19.6
2020-10-08 - Stage Revision DEPiR ? DEPiR
          Количество дней: 3.9
2020-10-14 - Stage DEPiR ? Revision DEPiR
          Количество дней: 3.3
2020-10-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.6
2020-10-21 - Stage Внут. согл. ? DEPiR
          Количество дней: 1
2020-10-22 - Stage DEPiR ? Revision DEPiR
          Количество дней: 5.4
2020-10-29 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.9
2020-11-03 - Stage Внут. согл. ? Revision DEPiR
          Количество дней: 0.2
2020-11-03 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.9
2020-11-09 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-11-09 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 5.2
2020-11-16 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 9.5
_________________________________________________________
Итерация №2
2020-11-30 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8.4
2020-12-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-12-10 - Stage DEPiR ? Revision DEPiR
          Количество дней: 4.9
2020-12-17 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0.9
2020-12-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-12-18 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1.6
2020-12-22 - Stage На согл. в ОИВ ? Подготовка к РГ
          Количество дней: 5
2020-12-29 - Stage Подготовка к РГ ? РГ
          Количество дней: 17.1
2021-01-29 - Stage РГ ? МРГ
          Количество дней: 5
2021-02-05 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 2.3
2021-02-09 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 5
";4;1,55;1;-0,24;;18.12.2020 16:00;;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Да;Нет;Нет;Электронный аукцион;Полностью YouTrackная;Утверждено на МРГ 09.02.2021;Поставка рассады, семян, саженцев, щепы декоративной;;25.05.2020 18:13;0;-43,43;77,07;63,86;8,41;-0,01;12,24;6,72;1,39;-0,82;40,01;8,82;14,5;-5,42;17,12;7,29;5,01;-2,14;2,25;1,56;4,99;0,61;29.01.2021 12:03;16.02.2021 18:06;183;80,48
32;FR-55;Выполнение работ по текущему ремонту конструктивных элементов зданий, относящихся к общему имуществу многоквартирных домов;План по стандартизации;2020;2;ТТЗ;Завершено;;"Итерация №1
2020-05-26 - Stage Planned ? Develop
          Количество дней: 0
2020-05-26 - Stage Develop ? Внут. согл.
          Количество дней: 2
2020-05-28 - Stage Внут. согл. ? Develop
          Количество дней: 0
2020-05-28 - Stage Develop ? Внут. согл.
          Количество дней: 13.3
2020-06-17 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-06-17 - Stage DEPiR ? Revision DEPiR
          Количество дней: 32.9
2020-08-03 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 4
2020-08-07 - Stage Внут. согл. ? Develop
          Количество дней: 0
2020-08-07 - Stage Develop ? Внут. согл.
          Количество дней: 3.1
2020-08-12 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.9
2020-08-13 - Stage DEPiR ? Revision DEPiR
          Количество дней: 18.8
2020-09-09 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.2
2020-09-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 3.7
2020-09-17 - Stage DEPiR ? Revision DEPiR
          Количество дней: 1.6
2020-09-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3.4
2020-09-24 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-09-24 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1.1
2020-09-25 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.4
_________________________________________________________
Итерация №2
2020-10-13 - Stage Revision OIV ? Внут. согл.
          Количество дней: 1.4
2020-10-15 - Stage Внут. согл. ? DEPiR
          Количество дней: 1.3
2020-10-16 - Stage DEPiR ? Revision DEPiR
          Количество дней: 12.8
2020-11-05 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.1
2020-11-09 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-11-09 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.9
2020-11-10 - Stage На согл. в ОИВ ? Подготовка к РГ
          Количество дней: 6.1
2020-11-18 - Stage Подготовка к РГ ? На согл. в ОИВ
          Количество дней: 8.1
2020-11-30 - Stage На согл. в ОИВ ? РГ
          Количество дней: 12.8
2020-12-17 - Stage РГ ? МРГ
          Количество дней: 6.9
2020-12-28 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 1.2
2020-12-29 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 4.3
";4;1,55;1;-0,24;09.11.2020 12:00;28.12.2020 18:00;Першина Дарья Валерьевна;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Нет;44-ФЗ / 223-ФЗ;Нет;Открытый конкурс / Электронный аукцион;Полностью YouTrackная;;Выполнение работ по текущему ремонту конструктивных элементов зданий, относящихся к общему имуществу многоквартирных домов;;26.05.2020 11:45;0;-43,43;18,47;5,26;1,41;-7,01;11,71;6,19;6,03;3,82;68,14;36,95;31,33;11,41;8,06;-1,77;6,9;-0,25;1,25;0,56;4,35;-0,03;17.12.2020 15:39;13.01.2021 3:21;158;55,48
33;FR-57;Поставка эскалаторов, оборудования и комплектующих к ним;План по стандартизации;2020;2;ТТЗ;Завершено;;"Итерация №1
2020-05-26 - Stage Develop ? Внут. согл.
          Количество дней: 0.8
2020-05-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2020-05-28 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 18.9
2020-06-25 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.6
_________________________________________________________
Итерация №2
2020-07-13 - Stage Revision OIV ? DEPiR
          Количество дней: 9
2020-07-24 - Stage DEPiR ? Revision DEPiR
          Количество дней: 6.4
2020-08-04 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 5.1
2020-08-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 2
2020-08-13 - Stage DEPiR ? Revision DEPiR
          Количество дней: 10.2
2020-08-27 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 5
2020-09-03 - Stage Внут. согл. ? Develop
          Количество дней: 0.9
2020-09-04 - Stage Develop ? Внут. согл.
          Количество дней: 0.1
2020-09-04 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-09-04 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 4.1
2020-09-10 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 7.7
_________________________________________________________
Итерация №3
2020-09-22 - Stage Revision OIV ? Внут. согл.
          Количество дней: 6.3
2020-09-30 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.8
2020-10-01 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.1
2020-10-05 - Stage Revision DEPiR ? DEPiR
          Количество дней: 2
2020-10-07 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.3
2020-10-07 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 5.8
_________________________________________________________
Итерация №4
2020-10-15 - Stage Revision OIV ? Внут. согл.
          Количество дней: 5.9
2020-10-23 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.7
2020-10-26 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 2.4
2020-10-28 - Stage Подготовка к РГ ? Revision OIV
          Количество дней: 11.2
_________________________________________________________
Итерация №5
2020-11-14 - Stage Revision OIV ? Develop
          Количество дней: 4.6
2020-11-20 - Stage Develop ? Внут. согл.
          Количество дней: 0.1
2020-11-20 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-11-20 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0.8
2020-11-23 - Stage Подготовка к РГ ? На согл. в ОИВ
          Количество дней: 5.2
2020-11-30 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 7.5
_________________________________________________________
Итерация №6
2020-12-10 - Stage Revision OIV ? Develop
          Количество дней: 6.3
2020-12-18 - Stage Develop ? Внут. согл.
          Количество дней: 0.1
2020-12-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-12-18 - Stage DEPiR ? Revision OIV
          Количество дней: 12.8
_________________________________________________________
Итерация №7
2021-01-14 - Stage Revision OIV ? Develop
          Количество дней: 2.1
2021-01-18 - Stage Develop ? Внут. согл.
          Количество дней: 0.1
2021-01-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2021-01-18 - Stage DEPiR ? Revision DEPiR
          Количество дней: 10.9
2021-02-02 - Stage Revision DEPiR ? Develop
          Количество дней: 1.3
2021-02-03 - Stage Develop ? Внут. согл.
          Количество дней: 0.6
2021-02-04 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2021-02-04 - Stage DEPiR ? Revision DEPiR
          Количество дней: 5.9
2021-02-12 - Stage Revision DEPiR ? DEPiR
          Количество дней: 0
2021-02-12 - Stage DEPiR ? Revision OIV
          Количество дней: 7
_________________________________________________________
Итерация №8
2021-02-24 - Stage Revision OIV ? Develop
          Количество дней: 3.7
2021-03-02 - Stage Develop ? Внут. согл.
          Количество дней: 1.2
2021-03-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2021-03-03 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0
2021-03-03 - Stage Подготовка к РГ ? Revision OIV
          Количество дней: 13.7
_________________________________________________________
Итерация №9
2021-03-24 - Stage Revision OIV ? Внут. согл.
          Количество дней: 0.9
2021-03-25 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-03-25 - Stage DEPiR ? Revision OIV
          Количество дней: 1.3
_________________________________________________________
Итерация №10
2021-03-26 - Stage Revision OIV ? Внут. согл.
          Количество дней: 0.8
2021-03-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2021-03-29 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 8.3
2021-04-08 - Stage Подготовка к РГ ? РГ
          Количество дней: 14.9
2021-04-29 - Stage РГ ? МРГ
          Количество дней: 15.1
2021-05-24 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 1.6
2021-05-26 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 4.3
";5;2,55;6;4,76;01.06.2021 12:00;;Воробьев Вадим Владимирович;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;;;;;;Полностью YouTrackная;РГ МРГ 26/05/2021;Поставка эскалаторов, оборудования и комплектующих к ним;;26.05.2020 21:54;;-43,43;2,83;-10,38;39,48;31,06;13,51;7,99;5,92;3,71;91,34;60,15;33,6;13,68;45,11;35,28;15,12;7,97;1,64;0,95;4,35;-0,03;29.04.2021 16:49;01.06.2021 19:17;254;151,48
34;FR-58;Оказание услуг по техническому обслуживанию и текущему ремонту охранного оборудования и систем видеонаблюдения;План по стандартизации;2020;2;ТТЗ;Завершено;;"Итерация №1
2020-05-27 - Stage Develop ? Внут. согл.
          Количество дней: 2
2020-05-29 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.7
2020-06-01 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 87.3
2020-10-01 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 10.6
_________________________________________________________
Итерация №2
2020-10-16 - Stage Revision OIV ? Внут. согл.
          Количество дней: 11.1
2020-11-02 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-11-02 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 12.1
2020-11-19 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 4.9
_________________________________________________________
Итерация №3
2020-11-26 - Stage Revision OIV ? Внут. согл.
          Количество дней: 4.8
2020-12-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-12-03 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 0.3
2020-12-03 - Stage Подготовка к РГ ? На согл. в ОИВ
          Количество дней: 8
2020-12-15 - Stage На согл. в ОИВ ? Внут. согл.
          Количество дней: 6
2020-12-23 - Stage Внут. согл. ? DEPiR
          Количество дней: 2.9
2020-12-28 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 61.7
2021-04-05 - Stage На согл. в ОИВ ? РГ
          Количество дней: 2.9
2021-04-08 - Stage РГ ? МРГ
          Количество дней: 30.4
2021-05-24 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 1.6
2021-05-26 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 4.1
";0;-2,45;2;0,76;;01.06.2021 12:00;;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Нет;44-ФЗ / 223-ФЗ;Нет;Открытый конкурс;Полностью YouTrackная;;Оказание услуг по техническому обслуживанию и текущему ремонту охранного оборудования и систем видеонаблюдения;Типовая документация размещена и утверждена в системе ЕАИСТ.;27.05.2020 17:27;;-43,43;1,99;-11,22;15,87;7,45;;-5,52;3,93;1,72;161,51;130,32;24,34;4,42;8,04;-1,79;30,43;23,28;1,64;0,95;4,1;-0,28;08.04.2021 9:26;01.06.2021 13:23;253;150,48
35;FR-59;Оказание услуг по проведению расчетов по операциям, совершенным с использованием банковских карт;План по стандартизации;2019;4;ТТЗ;Завершено;13.12.2019 12:00;"Итерация №1
2020-05-28 - Stage Внут. согл. ? Подготовка к РГ
          Количество дней: 9.2
2020-06-10 - Stage Подготовка к РГ ? РГ
          Количество дней: 4.7
2020-06-18 - Stage РГ ? МРГ
          Количество дней: 17.5
2020-07-13 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 0.8
2020-07-14 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 2.2
";0;;0;;04.06.2020 12:00;;Клюева Ангелина Эдуардовна;Минин Александр Валерьевич;Чурсина Мария Вячеславовна;;Типовой;;223-ФЗ;Нет;Открытый конкурс / Электронный аукцион;Не полностью YouTrackная;;Оказание услуг по проведению расчетов по операциям, совершенным с использованием банковских карт;;28.05.2020 11:02;;;;;;;;;9,21;;;;;;4,68;;17,45;;0,75;;2,19;;18.06.2020 8:23;16.07.2020 17:51;35;
36;FR-61;Поставка остановочных павильонов;План по стандартизации;2020;2;ТТЗ;Завершено;;"Итерация №1
2020-06-01 - Stage Planned ? Develop
          Количество дней: 2.6
2020-06-04 - Stage Develop ? Внут. согл.
          Количество дней: 6.2
2020-06-15 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-06-15 - Stage DEPiR ? Revision DEPiR
          Количество дней: 24.7
2020-07-20 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 9.3
2020-07-31 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-07-31 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 3.9
2020-08-06 - Stage На согл. в ОИВ ? Revision DEPiR
          Количество дней: 0
2020-08-06 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0
2020-08-06 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-08-06 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0
2020-08-06 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 16.7
_________________________________________________________
Итерация №2
2020-08-31 - Stage Revision OIV ? Внут. согл.
          Количество дней: 8.3
2020-09-10 - Stage Внут. согл. ? DEPiR
          Количество дней: 1
2020-09-11 - Stage DEPiR ? Revision DEPiR
          Количество дней: 18.7
2020-10-08 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 2.5
2020-10-12 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.5
2020-10-13 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 12.4
2020-10-29 - Stage На согл. в ОИВ ? Подготовка к РГ
          Количество дней: 15.8
2020-11-23 - Stage Подготовка к РГ ? РГ
          Количество дней: 5.2
2020-11-30 - Stage РГ ? МРГ
          Количество дней: 3.9
2020-12-04 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 2
2020-12-08 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 3.7
";2;-0,45;1;-0,24;01.12.2020 12:00;;;Давлиев Ильнар Газинурович;Чурсина Мария Вячеславовна;;Типовой;Нет;Нет;Нет;Электронный аукцион;Полностью YouTrackная;;Поставка остановочных павильонов;;01.06.2020 17:14;2,64;-40,79;6,18;-7,03;8,26;-0,16;11,82;6,3;1,75;-0,46;59,75;28,56;32,51;12,59;5,23;-4,6;3,88;-3,27;2;1,31;3,73;-0,65;30.11.2020 20:10;14.12.2020 10:57;135;32,48
37;FR-62;Поставка самоспасателей для индивидуальной защиты органов дыхания и зрения;План по стандартизации;2020;2;ТТЗ;Завершено;;"Итерация №1
2020-06-01 - Stage Planned ? Develop
          Количество дней: 2.6
2020-06-04 - Stage Develop ? Внут. согл.
          Количество дней: 5.4
2020-06-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.6
2020-06-15 - Stage DEPiR ? Revision DEPiR
          Количество дней: 25.4
2020-07-20 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 10.1
2020-08-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 1
2020-08-04 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 1.9
2020-08-06 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.8
_________________________________________________________
Итерация №2
2020-08-25 - Stage Revision OIV ? DEPiR
          Количество дней: 2.9
2020-08-28 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 8.6
2020-09-09 - Stage Подготовка к РГ ? РГ
          Количество дней: 25
2020-10-14 - Stage РГ ? МРГ
          Количество дней: 7.5
2020-10-26 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 4
2020-10-30 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 7.8
";1;-1,45;1;-0,24;06.11.2020 12:00;;Бибилашвили Надежда Михайловна;Давлиев Ильнар Газинурович;Чурсина Мария Вячеславовна;;Типовой;Нет;Нет;Нет;Электронный аукцион;Полностью YouTrackная;;Поставка самоспасателей для индивидуальной защиты органов дыхания и зрения;;01.06.2020 17:15;2,64;-40,79;5,42;-7,79;2,9;-5,52;10,06;4,54;1,54;-0,67;35,86;4,67;12,84;-7,08;24,99;15,16;7,52;0,37;4,04;3,35;7,85;3,47;14.10.2020 23:25;12.11.2020 9:13;113;10,48
38;FR-69;Поставка проездных билетов;План по стандартизации;2019;4;ТТЗ;Завершено;;"Итерация №1
2020-06-05 - Stage Planned ? Develop
          Количество дней: 0
2020-06-05 - Stage Develop ? Внут. согл.
          Количество дней: 0.3
2020-06-05 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-06-05 - Stage DEPiR ? РГ
          Количество дней: 7.5
2020-06-18 - Stage РГ ? МРГ
          Количество дней: 17.4
2020-07-13 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 0.8
2020-07-14 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 2.1
";0;-2,45;0;-1,24;19.06.2020 12:00;;;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Да;Нет;Нет;Электронный аукцион;;МРГ от 14.07.2020;Поставка проездных билетов;Типовая документация размещена и утверждена в системе ЕАИСТ.;05.06.2020 11:33;0;-43,43;0,35;-12,86;;-8,42;;-5,52;0,03;-2,18;7,48;-23,71;;-19,92;;-9,83;17,45;10,3;0,75;0,06;2,09;-2,29;18.06.2020 8:26;16.07.2020 15:24;28;-74,52
39;FR-70;Выполнение ремонтно-восстановительных работ на объектах благоустройства;План по стандартизации;2019;3;ТТЗ;Завершено;;"Итерация №1
2020-06-11 - Stage Develop ? Внут. согл.
          Количество дней: 0
2020-06-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-06-11 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 8.6
2020-06-25 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.6
_________________________________________________________
Итерация №2
2020-07-13 - Stage Revision OIV ? DEPiR
          Количество дней: 14
2020-07-31 - Stage DEPiR ? Revision DEPiR
          Количество дней: 6.6
2020-08-11 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3.1
2020-08-14 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-08-14 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.7
2020-08-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1
2020-08-20 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-08-20 - Stage DEPiR ? Revision DEPiR
          Количество дней: 4.7
2020-08-27 - Stage Revision DEPiR ? DEPiR
          Количество дней: 0.1
2020-08-27 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 8
2020-09-08 - Stage Подготовка к РГ ? РГ
          Количество дней: 26.5
2020-10-14 - Stage РГ ? МРГ
          Количество дней: 7.5
2020-10-26 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 4
2020-10-30 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 5.7
";3;;1;;06.11.2020 18:00;;Уфаркина Наталья Геннадьевна;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Нет;44-ФЗ / 223-ФЗ;Нет;Открытый конкурс / Электронный аукцион;Не полностью YouTrackная;;Выполнение ремонтно-восстановительных работ на объектах благоустройства;КТД размещен в системе;11.06.2020 14:05;;;0;;14,02;;4,18;;0,38;;30,72;;12,6;;26,5;;7,52;;4,04;;5,67;;14.10.2020 23:26;10.11.2020 5:05;107;
40;FR-71;Выполнение работ по благоустройству территорий;План по стандартизации;2019;3;ТТЗ;Завершено;;"Итерация №1
2020-06-11 - Stage Develop ? Внут. согл.
          Количество дней: 0
2020-06-11 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-06-11 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 8.6
2020-06-25 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 12.6
_________________________________________________________
Итерация №2
2020-07-13 - Stage Revision OIV ? DEPiR
          Количество дней: 14
2020-07-31 - Stage DEPiR ? Revision DEPiR
          Количество дней: 5.8
2020-08-10 - Stage Revision DEPiR ? DEPiR
          Количество дней: 3.1
2020-08-13 - Stage DEPiR ? Revision DEPiR
          Количество дней: 3.7
2020-08-19 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 3
2020-08-24 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.3
2020-08-24 - Stage DEPiR ? Revision DEPiR
          Количество дней: 2.6
2020-08-27 - Stage Revision DEPiR ? DEPiR
          Количество дней: 0.1
2020-08-27 - Stage DEPiR ? Подготовка к РГ
          Количество дней: 8
2020-09-08 - Stage Подготовка к РГ ? На согл. в ОИВ
          Количество дней: 26.5
2020-10-14 - Stage На согл. в ОИВ ? РГ
          Количество дней: 11.6
2020-10-30 - Stage РГ ? МРГ
          Количество дней: 24.2
2020-12-04 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 2
2020-12-08 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 15
";3;;1;;27.08.2020 17:00;;Уфаркина Наталья Геннадьевна;Уфаркина Наталья Геннадьевна;Гудиев Зелимхан Куйраевич;;Типовой;Нет;44-ФЗ / 223-ФЗ;Нет;Открытый конкурс / Электронный аукцион;Не полностью YouTrackная;;Выполнение работ по благоустройству территорий;;11.06.2020 14:07;;;0;;14,02;;6,11;;0,44;;28,72;;24,16;;26,5;;24,19;;2;;14,99;;30.10.2020 12:48;29.12.2020 17:11;142;
41;FR-72;Поставка мягкого инвентаря;Поручение ДЭПиР или руководства;;;ТТЗ;Завершено;31.08.2020 12:00;"Итерация №1
2020-06-15 - Stage Planned ? Develop
          Количество дней: 0
2020-06-15 - Stage Develop ? Revision DEPiR
          Количество дней: 3
2020-06-18 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 0
2020-06-18 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.1
2020-06-18 - Stage DEPiR ? Revision DEPiR
          Количество дней: 22.1
2020-07-20 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1.8
2020-07-22 - Stage Внут. согл. ? DEPiR
          Количество дней: 2.1
2020-07-24 - Stage DEPiR ? Revision DEPiR
          Количество дней: 0
2020-07-24 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 1
2020-07-27 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-07-27 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 0.7
2020-07-28 - Stage На согл. в ОИВ ? Revision OIV
          Количество дней: 10.6
_________________________________________________________
Итерация №2
2020-08-11 - Stage Revision OIV ? Внут. согл.
          Количество дней: 7.8
2020-08-21 - Stage Внут. согл. ? DEPiR
          Количество дней: 0
2020-08-21 - Stage DEPiR ? Revision DEPiR
          Количество дней: 3.9
2020-08-27 - Stage Revision DEPiR ? Внут. согл.
          Количество дней: 4.8
2020-09-03 - Stage Внут. согл. ? DEPiR
          Количество дней: 0.2
2020-09-03 - Stage DEPiR ? На согл. в ОИВ
          Количество дней: 5.1
2020-09-10 - Stage На согл. в ОИВ ? Подготовка к РГ
          Количество дней: 5.6
2020-09-18 - Stage Подготовка к РГ ? На согл. в ОИВ
          Количество дней: 18.6
2020-10-14 - Stage На согл. в ОИВ ? РГ
          Количество дней: 38.5
2020-12-09 - Stage РГ ? МРГ
          Количество дней: 13.1
2020-12-28 - Stage МРГ ? Загрузка в ЕАИСТ
          Количество дней: 1.2
2020-12-29 - Stage Загрузка в ЕАИСТ ? Завершено
          Количество дней: 6.8
";3;;1;;13.01.2021 12:00;;Куркина Наталья Витальевна;Бутасова Светлана Валерьевна;;;;;;;;Не полностью YouTrackная;;Поставка мягкого инвентаря;;15.06.2020 13:06;0,02;;3,03;;7,76;;7,63;;2,47;;31,78;;54,59;;18,61;;13,11;;1,25;;6,82;;09.12.2020 10:31;15.01.2021 14:49;147;
